ID,Title,Author,Date,Votes,Tags
41899,Bookmarks can search for folders,,2019-11-05T03:20:49.754Z,1,,2,27
42064,Why removing the "share to desktop" feature ?,,2019-11-10T11:38:54.504Z,1,,2,66
42302,Disable spell check popup,,2019-11-21T17:30:02.657Z,1,,4,70
42436,Make tab overview bottom bar more consistent,,2019-11-29T10:12:01.226Z,1,,2,59
42705,Option to add bookmark shortcut (not just add to homescreen),,2019-12-13T08:38:53.012Z,1,,1,38
42857,Android Wallpapers,,2019-12-19T13:49:20.651Z,1,,1,33
42858,Android Block Sites,,2019-12-19T13:52:36.049Z,1,,2,62
43209,Full screen,,2020-01-02T19:03:02.987Z,1,,1,21
43502,stop page load,,2020-01-16T15:27:06.386Z,1,,2,16
43615,Vivaldi для Андроид ТВ,,2020-01-22T09:36:44.534Z,1,,1,10
43670,Default Assistant,,2020-01-24T12:17:54.754Z,1,,1,15
44013,Search suggestions,,2020-02-08T09:19:47.434Z,1,,1,13
44102,I want old tab switcher design,,2020-02-12T14:20:09.223Z,1,,4,48
44197,External download manager,,2020-02-15T05:33:47.223Z,1,,1,11
44901,Bottom bar should reduce page view height,,2020-03-14T07:37:49.554Z,1,,2,15
44903,Repositioning of bars/buttons to sides  font size for URL/omnibar,,2020-03-14T07:45:25.387Z,1,,2,19
44937,One-button picture-in-picture with buttons like desktop,,2020-03-15T15:20:56.458Z,1,,3,37
45189,Video supports background playback,,2020-03-25T02:38:29.547Z,1,,1,8
45366,Give a permanent button that can be used to access URL Bar without going back to new tab.,,2020-04-01T06:41:25.020Z,1,,1,13
45371,Panel bar on the side,,2020-04-01T09:45:55.527Z,1,,1,18
45471,Edge-to-edge rendering with Android 10 navigation gestures,,2020-04-05T06:07:43.255Z,1,,1,16
45604,Instant clear button,,2020-04-10T10:21:08.617Z,1,,1,10
45702,video downloads,,2020-04-14T15:25:34.059Z,1,,4,17
36043,Bookmark Bar integration.,,2019-03-31T08:12:15.238Z,0,BOOKMARKS:MOBILE:BOOKMARKS BAR,1,165
37228,Mobile version nomenclature,,2019-05-10T07:35:29.444Z,0,,7,236
38100,Support for desktop mode for Samsung Dex and Android Q and the next versions.,,2019-06-13T10:38:59.088Z,0,,1,175
40060,Make Vivaldi for android a service to autofill passwords from other apps,,2019-09-09T17:09:40.985Z,0,PASSWORDS,3,140
40120,instant navigation history,,2019-09-10T09:56:08.628Z,0,,2,36
40131,Speed Dial Selection Positions,,2019-09-10T12:14:53.666Z,0,,2,47
40161,Tab page long press delete tab,,2019-09-11T02:50:29.831Z,0,TABS:SHORTCUTS:GESTURE,2,27
40185,Disabling history,,2019-09-11T08:02:33.215Z,0,PRIVACY:HISTORY,1,22
40292,All toolbars always visible,,2019-09-12T18:39:55.112Z,0,TOOLBAR,2,45
40429,Catalonian translation.,,2019-09-15T18:29:48.193Z,0,,3,48
40453,Cookie and site settings from lock icon at the beginning of the address bar,,2019-09-16T10:43:34.835Z,0,,7,110
40460,Acces Notes 1 click away not 2 as it currently stands,,2019-09-16T14:16:49.100Z,0,NOTES,1,19
40783,System equalizer support (android beta),,2019-09-23T13:36:47.073Z,0,,2,16
40804,remove tab bar in tablet version,,2019-09-24T04:23:25.001Z,0,,2,41
40806,its difficult to add a address to speed dail,,2019-09-24T04:38:03.180Z,0,,4,52
41030,activating lite mode,,2019-09-30T16:50:14.673Z,0,,7,277
41047,Developer options,,2019-10-01T11:21:04.965Z,0,,7,114
