ID,Title,Author,Date,Votes,Tags
24336,Optional Confirmation Dialog when Closing All Tabs but Active,david.cortes,2018-01-31T21:23:51.569Z,8,TABS:GUI:CLOSE TABS:WARNING
27461,Improve Tab-stack Thumbnail Previews,goedl,2018-05-17T09:26:07.103Z,6,TAB STACKS:THUMBNAILS
32707,Add an index number to each tab of the tab bar for easy shortcut selection,hzxiaojun,2018-12-04T10:40:28.245Z,0,
29407,Shortcuts to Change Tab Bar Position,Aldrnari,2018-08-16T14:57:11.596Z,8,SHORTCUTS:TAB BAR
32133,Single Close Tab button on the right of the tab bar,sventhebarbarian,2018-11-11T14:11:53.155Z,5,TABS:USER INTERFACE
32476,Permanent Tab Tiling,otiv,2018-11-23T15:49:13.439Z,6,TABS:TILING
32596,Another Column of Tabs for New Tabs next to Pinned Tabs,robertebrown,2018-11-28T21:07:14.888Z,0,TABS:NEW TAB:PINNED TABS
32336,Load Previous and Next Pages in New Tab,Ashtar,2018-11-18T19:25:44.438Z,0,
32565,Close Cloud Synced Tabs on Other Devices,advaits,2018-11-27T09:26:54.196Z,2,TABS:SYNC:CLOSE TABS
32415,Show Cloud Synced Tabs in the F2 Search,alexander.gorbovets,2018-11-21T11:35:51.152Z,1,SYNC:QUICK COMMANDS:CLOUD
31892,Search for Tab Stacks in Quick Command,RbR,2018-11-02T06:54:26.010Z,2,TAB STACKS:SEARCH:QUICK COMMANDS
32369,"Paste and Go" on a Tab,ryofurue,2018-11-20T04:55:10.047Z,0,TABS:CONTEXT MENU:BACKGROUND TAB:PASTE AND GO
32265,Open New Tab Within Tab Stack,Killy.MXI,2018-11-15T23:29:32.188Z,1,TABS:TAB STACKS:NEW TAB
32289,Search Engine Inside a Tab,Sebatrox,2018-11-16T19:18:22.741Z,0,TABS:SEARCH ENGINES
32186,Play sounds in inactive tab when explicitly asked  leaving other tabs muted,Nostromo,2018-11-13T14:13:47.441Z,4,TABS:AUDIO:MUTE:BACKGROUND TAB
24754,Tab Stacking from Bookmarks Folders,Asires,2018-02-06T10:18:59.112Z,5,TAB STACKS:BOOKMARK FOLDER
24578,Open Bookmark Folder in Tab Stack,Artex,2018-02-02T17:25:04.496Z,31,TAB STACKS:BOOKMARKS BAR:BOOKMARK FOLDER
31648,Pause/Play media controls in the tab,zeiglerxz,2018-10-25T19:48:35.342Z,8,VIDEO:AUDIO:MEDIA:CONTROLS
27443,Tab Stacking: Text List on Mouse-over instead of Image Preview,cholzer,2018-05-16T06:47:35.234Z,7,TAB STACKS
